Mendeley key;Citation;Solvant;Material;Material class;Ceramic class;Constant temperature;Cooling rate;Interface velocity;Wall thickness;Pore width;Wavelength;failure mode;Defects;permeance;Granulo poudre;Solid Loading;Loading (wt%);Additives;Porosity;Relative density;Strength (MPa);Flexural strength;Sample height;Sample diameter;Sample diameter;Sample ratio;Sample shape;Sample volume;Strain rate;Youngs Modulus (MPa);Normalized Young Modulus;green body ?;Compressive strength dense material;Flexural strength dense material;Normalized strength (compression);Normalized strength (flexion);E_dense;Honeycomb_Ashby;Normalized_strength_Elastic_modulus
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;30;;?;no;yes;1;25;;;47,8;0,522;;16,4;15;;5;3;block;;;;;0;2600;400;;0,041;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;30;;?;no;yes;1;25;;;45,9;0,541;;14,8;15;;5;3;block;;;;;0;2600;400;;0,037;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;30;;?;no;yes;1;25;;;37,3;0,627;;14,7;15;;5;3;block;;;;;0;2600;400;;0,03675;390;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;440;;cellular;no;;;;;;91;0,09;0,4;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;0,32;;0;140;100;0,004;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;415;;cellular;no;;;;;;90;0,1;0,85;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;4,68;;0;140;100;0,0085;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;270;;cellular;no;;;;;;90;0,1;1,39;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;10,67;;0;140;100;0,0139;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;220;;cellular;no;;;;;;89;0,11;1,4;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;10,10;;0;140;100;0,014;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;198;;cellular;no;;;;;;87;0,13;1,48;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;13,4;;0;140;100;0,0148;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;280;;cellular;no;;;;;;89;0,11;1,6;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;14,5;;0;140;100;0,016;;;;
Kumar2014a;Kumar, A., Negi, Y. S., Choudhary, V., & Bhardwaj, N. K. (2014). Microstructural and mechanical properties of porous biocomposite scaffolds based on polyvinyl alcohol, nano-hydroxyapatite and cellulose nanocrystals. Cellulose. doi:10.1007/s10570-014-0339-7;water;PVA, HAP, cellulose;cera;oxide;-40;;;;180;;cellular;no;;;;;;87;0,13;2,09;;12;;7,5;1,6;cylinder;0,530143760293278;0,5;16,01;;0;140;100;0,0209;;;;
Sadeghpour2014;Sadeghpour, S., Amirjani, A., Hafezi, M., & Zamanian, A. (2014). Fabrication of a novel nanostructured calcium zirconium silicate scaffolds prepared by a freeze-casting method for bone tissue engineering. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.07.039;water;Baghdadite;cera;oxide;;1;;;50;;?;no;no;;12,5;;;64,3;0,357;1,3;;;;;;cylinder;;1;26,2;;0;;;;;;;
Sadeghpour2014;Sadeghpour, S., Amirjani, A., Hafezi, M., & Zamanian, A. (2014). Fabrication of a novel nanostructured calcium zirconium silicate scaffolds prepared by a freeze-casting method for bone tissue engineering. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.07.039;water;Baghdadite;cera;oxide;;4;;;50;;?;no;no;;12,5;;;63,6;0,364;1,5;;;;;;cylinder;;1;21,8;;0;;;;;;;
Sadeghpour2014;Sadeghpour, S., Amirjani, A., Hafezi, M., & Zamanian, A. (2014). Fabrication of a novel nanostructured calcium zirconium silicate scaffolds prepared by a freeze-casting method for bone tissue engineering. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.07.039;water;Baghdadite;cera;oxide;;1;;;50;;?;no;no;;20;;;58,4;0,416;1,8;;;;;;cylinder;;1;41,3;;0;;;;;;;
Sadeghpour2014;Sadeghpour, S., Amirjani, A., Hafezi, M., & Zamanian, A. (2014). Fabrication of a novel nanostructured calcium zirconium silicate scaffolds prepared by a freeze-casting method for bone tissue engineering. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.07.039;water;Baghdadite;cera;oxide;;4;;;50;;?;no;no;;20;;;58,2;0,418;2,1;;;;;;cylinder;;1;59,8;;0;;;;;;;
Hu2014a;Hu, H.-L., Zeng, Y.-P., Xia, Y.-F., Yao, D.-X., & Zuo, K.-H. (2014). High-strength porous Si3N4 ceramics prepared by freeze casting and silicon powder nitridation process. Materials Letters. doi:10.1016/j.matlet.2014.06.176;water;silicon nitride;cera;covalent;-18;;;;45;;?;no;no;1,3;;;;70,51;0,2949;;16,3;36;3;4;9;block;;0,5;;;0;3200;1000;;0,0163;290;44,62452084726;
Hu2014a;Hu, H.-L., Zeng, Y.-P., Xia, Y.-F., Yao, D.-X., & Zuo, K.-H. (2014). High-strength porous Si3N4 ceramics prepared by freeze casting and silicon powder nitridation process. Materials Letters. doi:10.1016/j.matlet.2014.06.176;water;silicon nitride;cera;covalent;-18;;;;45;;?;no;no;1,3;;;;69,6;0,304;;18,9;36;3;4;9;block;;0,5;;;0;3200;1000;;0,0189;290;48,88436736;
Hu2014a;Hu, H.-L., Zeng, Y.-P., Xia, Y.-F., Yao, D.-X., & Zuo, K.-H. (2014). High-strength porous Si3N4 ceramics prepared by freeze casting and silicon powder nitridation process. Materials Letters. doi:10.1016/j.matlet.2014.06.176;water;silicon nitride+silicon carbide;cera;covalent;-18;;;;45;;?;no;no;1,3;;;;66,7;0,333;;9,6;36;3;4;9;block;;0,5;;;0;3900;550;;0,0174545454545455;;;
Hu2014a;Hu, H.-L., Zeng, Y.-P., Xia, Y.-F., Yao, D.-X., & Zuo, K.-H. (2014). High-strength porous Si3N4 ceramics prepared by freeze casting and silicon powder nitridation process. Materials Letters. doi:10.1016/j.matlet.2014.06.176;water;silicon nitride+silicon carbide;cera;covalent;-18;;;;45;;?;no;no;1,3;;;;69,8;0,302;;8,8;36;3;4;9;block;;0,5;;;0;3900;550;;0,016;;;
Tang2014a;Tang, Y., Miao, Q., Qiu, S., Zhao, K., & Hu, L. (2014). Novel freeze-casting fabrication of aligned lamellar porous alumina with a centrosymmetric structure. Journal of the European Ceramic Society, 6–11. doi:10.1016/j.jeurceramsoc.2014.05.040;water;alumina;cera;oxide;-40;;;;90;;?;no;no;1;20;;3wt;24,6;0,754;86;;12;;10;1,2;cylinder;0,942477796076938;0,5;;;0;2600;400;0,215;;390;1003,06688976;0,220512820512821
Tang2014a;Tang, Y., Miao, Q., Qiu, S., Zhao, K., & Hu, L. (2014). Novel freeze-casting fabrication of aligned lamellar porous alumina with a centrosymmetric structure. Journal of the European Ceramic Society, 6–11. doi:10.1016/j.jeurceramsoc.2014.05.040;water;alumina;cera;oxide;-40;;;;90;;?;no;no;1;20;;3wt;28;0,72;80,9;;12;;10;1,2;cylinder;0,942477796076938;0,5;;;0;2600;400;0,20225;;390;873,40032;0,207435897435897
Tang2014a;Tang, Y., Miao, Q., Qiu, S., Zhao, K., & Hu, L. (2014). Novel freeze-casting fabrication of aligned lamellar porous alumina with a centrosymmetric structure. Journal of the European Ceramic Society, 6–11. doi:10.1016/j.jeurceramsoc.2014.05.040;water;alumina;cera;oxide;-40;;;;50;;?;no;no;1;30;;3wt;38,5;0,615;33,7;;12;;10;1,2;cylinder;0,942477796076938;0,5;;;0;2600;400;0,08425;;390;544,3035975;0,0864102564102564
Tang2014a;Tang, Y., Miao, Q., Qiu, S., Zhao, K., & Hu, L. (2014). Novel freeze-casting fabrication of aligned lamellar porous alumina with a centrosymmetric structure. Journal of the European Ceramic Society, 6–11. doi:10.1016/j.jeurceramsoc.2014.05.040;water;alumina;cera;oxide;-40;;;;50;;?;no;no;1;30;;3wt;41,6;0,584;43,6;;12;;10;1,2;cylinder;0,942477796076938;0,5;;;0;2600;400;0,109;;390;466,07348736;0,111794871794872
